Maturity Date,EURUSD,EURSEK,EURJPY,EURCHF,EURMXN,EURGBP,EURCAD,EURNOK,EURAUD,EURNZD,EURZAR,EURSGD,EURTHB,EURDKK,EURSAR,EURPLN,EURHKD,EURCNY,EURBRL,EURHUF,EURINR,EURPKR,EURRUB,EURTRY,EURARS,EURCLP,EURCOP,EURCZK,EUREGP,EURJOD,EURKRW,EURKZT,EURPEN,EURUAH,EURUYU,EURAED,EURHRK,EURBYR,EURIDR,EURKES,EURMYR,EURNGN,EURPHP,EURTTD,EURTWD,EURVND,EUREUR
2/02/2017,1.07825,9.41684246,121.5996438,1.0691927,22.29675436,0.85132841,1.40409715,8.85836288,1.41215376,1.4797914,14.47825579,1.52108728,37.83848813,7.43766068,4.04392271,4.30130099,8.36651914,7.35431195,3.37438338,309.7650513,72.7495275,112.9628613,64.7273475,4.05314175,17.03095875,696.76515,"3,132.26",27.0187885,20.37353375,0.76394012,"1,236.10",350.2156,3.52641663,29.177445,30.33656375,3.9601966,7.46348476,"21,672.83","14,413.51",111.9762625,4.783117,328.5966875,53.64778963,7.24584,33.55999213,"24,414.28",1
3/02/2017,1.0756,9.42526768,121.688006,1.06866238,22.0627072,0.85937999,1.4017757,8.87929312,1.40555374,1.47991194,14.42912022,1.51971524,37.732048,7.43793534,4.03398402,4.31788864,8.34595686,7.33656004,3.3601744,309.07366,72.490062,112.717502,63.8051298,4.03747972,16.86003,691.01922,"3,093.96",27.021761,19.76415,0.76292308,"1,233.60",347.908198,3.4935488,28.990109,30.229738,3.95057124,7.43820424,"21,619.56","14,359.26",111.64728,4.75953,338.0073,53.597148,7.228032,33.3747924,"24,335.45",1
6/02/2017,1.07635,9.45046064,121.2992633,1.06929991,21.93881151,0.8621836,1.40189206,8.83667205,1.40598263,1.47213294,14.29441236,1.51743823,37.71799488,7.43741705,4.03658159,4.30157896,8.34994658,7.33198857,3.35568258,309.8919285,72.32802913,112.7745713,63.16565357,3.96688793,16.80720525,689.3435139,"3,067.65",27.0206904,19.912475,0.76367033,"1,224.97",346.5739365,3.50836283,29.27672,30.21852625,3.95337973,7.43343455,"21,634.64","14,346.67",111.617495,4.7639251,340.1266,53.537649,7.2438355,33.2742839,"24,320.13",1
7/02/2017,1.06965,9.47570846,119.6029148,1.06478309,22.03072533,0.86022759,1.4037017,8.85819951,1.39677461,1.45609856,14.31801401,1.512806,37.43775,7.43727645,4.01166884,4.28774551,8.29775639,7.29490604,3.3330294,309.8722568,72.05697225,112.0832753,63.21096675,3.97321493,16.87372875,685.8815078,"3,049.79",27.0214983,19.68156,0.75891668,"1,222.73",345.6520493,3.5170092,29.0409975,30.42619425,3.92877097,7.44952394,"21,499.97","14,253.09",110.922705,4.74764153,325.9758375,53.17283633,7.1987445,33.1570107,"24,179.44",1
8/02/2017,1.0668,9.47969148,119.913654,1.06557318,22.024086,0.85350828,1.40652246,8.88399036,1.39816514,1.46327412,14.3815308,1.51336248,37.388673,7.4345292,4.00087338,4.3013376,8.27692782,7.30640652,3.3289494,309.019956,71.824977,111.85398,63.42307356,3.98908524,16.7226234,689.787546,"3,048.33",27.019377,19.517106,0.7568946,"1,224.17",346.12326,3.5161728,28.808934,30.291786,3.91824972,7.44909102,"21,442.68","14,223.11",110.6805,4.736592,336.3087,53.158644,7.179564,33.169479,"24,168.35",1
9/02/2017,1.0675,9.44961675,119.8322125,1.06435088,21.87403575,0.85345379,1.40402938,8.89729225,1.40091864,1.48325691,14.3472,1.51206038,37.37050625,7.43460375,4.00360538,4.31600925,8.28257237,7.314937,3.32793125,309.1533375,71.5491875,111.8579875,62.99114675,3.97419575,16.7117125,692.327125,"3,078.30",27.0216275,19.23635,0.75739125,"1,223.91",346.243625,3.50727125,28.7531125,30.3970625,3.920714,7.45979675,"21,456.75","14,205.22",110.6730625,4.7386325,336.1637563,53.29440375,7.184275,33.13359875,"24,200.23",1
10/02/2017,1.06615,9.49353268,121.1839398,1.06822899,21.67173767,0.85220415,1.39969503,8.9094424,1.3930228,1.48127822,14.26130217,1.51451938,37.38188438,7.43511687,3.9987555,4.31278998,8.27140493,7.31693414,3.33720942,308.138673,71.3574195,111.7058663,62.74372711,3.92593745,16.6852475,688.4663625,"3,048.60",27.02157175,18.9028395,0.75536728,"1,225.67",344.7982408,3.48364513,28.850019,30.41192875,3.91607557,7.4673146,"21,429.62","14,193.65",110.346525,4.74063598,324.9092125,53.2115465,7.1751895,33.09649445,"24,142.97",1
13/02/2017,1.0629,9.48085542,120.8251575,1.06699217,21.6332037,0.84936871,1.39154868,8.91278851,1.38596949,1.47491848,14.21873217,1.51266614,37.26580545,7.43445405,3.98645959,4.29379713,8.24709424,7.31264571,3.31173068,308.177226,71.1664695,111.445065,61.78356032,3.93049791,16.50205395,679.8892995,"3,032.29",27.0210438,18.568863,0.75412755,"1,224.16",342.5567265,3.4576137,28.942767,30.2660775,3.9040317,7.45464915,"21,364.29","14,164.74",110.169585,4.72831065,335.8764,53.09132355,7.142688,32.9382081,"24,101.26",1
14/02/2017,1.06215,9.47044805,120.3893918,1.06677035,21.50800643,0.8466045,1.38605264,8.89263845,1.38246779,1.47736282,14.07662084,1.50634113,37.13860583,7.43605904,3.98332804,4.31185103,8.24175293,7.28767669,3.30487973,308.405874,71.11625325,111.3080093,61.42147913,3.89357636,16.43677125,681.9534075,"3,049.17",27.02003385,18.077793,0.75386096,"1,209.86",342.946992,3.45729825,28.89048,30.35093625,3.90106452,7.45087603,"21,349.22","14,149.43",110.1130905,4.72497428,323.424675,52.9694205,7.14492373,32.73652515,"24,158.60",1
15/02/2017,1.05775,9.45136646,120.9748675,1.06488981,21.434246,0.84874624,1.38295524,8.88182098,1.37880467,1.47318942,13.84827455,1.50300986,37.0318275,7.43645849,3.96693271,4.30345588,8.20782267,7.24701546,3.26315875,308.1384413,70.80049625,110.8257563,60.18333062,3.86300878,16.37132563,678.462005,"3,039.34",27.02075262,17.5057625,0.75073806,"1,207.50",339.1040725,3.45022184,28.7179125,30.15116375,3.88511575,7.45195453,"21,260.78","14,100.34",109.6357875,4.70592975,322.084875,52.79494687,7.10808,32.55014075,"24,095.55",1
16/02/2017,1.06105,9.45257613,120.8907318,1.06534725,21.55852001,0.85091624,1.38546604,8.84395786,1.37700344,1.46929308,13.73783877,1.50578911,37.12454792,7.43419377,3.97930887,4.31804908,8.234756,7.26527461,3.24416037,308.2297198,71.02801331,111.1927348,60.62505469,3.89357603,16.30515535,678.01095,"3,045.48",27.03290138,17.4967145,0.75175393,"1,211.25",339.0320013,3.4441683,28.89769675,30.05424125,3.89713055,7.45679414,"21,327.11","14,144.86",109.9778325,4.72909985,334.1326029,52.99361173,7.130256,32.6272875,"24,152.15",1
17/02/2017,1.06715,9.45249456,120.9667883,1.06485563,21.76222988,0.85402745,1.39460498,8.84059074,1.38572913,1.48266759,13.84627125,1.51193812,37.34758213,7.43408705,4.00223936,4.31326023,8.2814575,7.31328567,3.29658642,307.6753523,71.51772513,111.8319843,61.37446438,3.90651601,16.45812088,681.9622075,"3,065.92",27.020238,17.2131295,0.75570227,"1,223.70",339.9032823,3.46663678,28.82905725,30.12030875,3.91953524,7.44251753,"21,449.72","14,224.04",110.6100975,4.7573547,336.0535386,53.39431667,7.17605018,32.84580985,"24,307.01",1
20/02/2017,1.0615,9.45424975,120.1140325,1.06500295,21.7151055,0.85411973,1.38870738,8.85535145,1.38153185,1.47779479,13.92385473,1.50483548,37.19018325,7.43352528,3.98094345,4.3302831,8.2380892,7.27223035,3.29569213,308.079145,71.07804,111.2452,61.69039938,3.84337305,16.6177825,683.71215,"3,064.02",27.0204825,16.7717,0.75339963,"1,218.15",338.9210275,3.462613,28.6976525,30.1412925,3.89873028,7.4355952,"21,336.15","14,178.99",109.9714,4.732167,335.434,53.336129,7.13328,32.71596075,"24,218.65",1
21/02/2017,1.0586,9.48537358,120.188151,1.06436937,21.6293152,0.85004216,1.39084161,8.84740829,1.37973281,1.47890472,13.8491345,1.50352958,37.0854045,7.4345478,3.96996172,4.31723545,8.21595339,7.26803002,3.2678982,307.904396,70.825633,110.935987,61.21216882,3.84028322,16.609434,678.716097,"3,055.49",27.0239408,16.72588,0.7510767,"1,210.96",335.983761,3.4372742,28.5848465,29.963673,3.88813194,7.44688049,"21,277.86","14,148.19",109.67096,4.7187095,333.3610795,53.215822,7.113792,32.6144074,"24,170.48",1
22/02/2017,1.05275,9.45422137,119.4397513,1.06396179,21.07895006,0.84277309,1.38310295,8.80162165,1.36907471,1.46980803,13.78839313,1.49427335,36.867305,7.43304665,3.94807569,4.29822034,8.17076121,7.22760249,3.25878763,307.508275,70.4816125,110.3545188,60.32894414,3.806744,16.410267,677.1024813,"3,055.24",27.02093425,16.63345,0.74692613,"1,202.39",329.5686513,3.42138486,28.47162375,29.77703375,3.86664548,7.4526278,"21,160.28","14,067.90",109.0649,4.691054,331.5188706,52.86963138,7.07448,32.42943738,"24,036.91",1
